ID,Location Name,Description,Opening Hour
1,Avenue of Stars,"A famous promenade in Tsim Sha Tsui celebrating Hong Kong’s film industry with celebrity handprints, statues, and breathtaking harbor views.","0000-2400, Mon-Sun"
2,Former Kowloon-Canton Railway Clock Tower,"A historic landmark in Tsim Sha Tsui symbolizing the old Kowloon-Canton Railway, now a popular spot for tourists and photographers.","1000-2200, Mon-Sun"
3,Golden Bauhinia Square,"An iconic outdoor plaza in Wan Chai featuring the golden Bauhinia statue, symbolizing Hong Kong’s return to China in 1997.","0000-2400, Mon-Sun"
4,Hong Kong Disneyland,"A magical theme park featuring world-class attractions, entertainment, and dining, inspired by Disney characters and stories.","1000-2000, Mon-Sun"
5,Women's Street,"A vibrant open-air market in Mong Kok offering affordable fashion, accessories, and souvenirs in a lively atmosphere.","1200-2300, Mon-Sun"
6,Lan Kwai Fong,"A bustling nightlife district in Central filled with bars, clubs, and restaurants, attracting both locals and tourists.","1700-0200, Mon-Sun"
7,Hong Kong Ocean Park,"A marine-life theme park offering thrilling rides, animal exhibits, and educational programs, located in Aberdeen.","1000-1900, Mon-Sun"
8,Temple Street Night Market,"A lively street market in Yau Ma Tei featuring local street food, souvenirs, fortune-tellers, and entertainment.","1700-2300, Mon-Sun"
9,Tsim Sha Tsui Promenade Gardens,"A relaxing public park along the Tsim Sha Tsui waterfront, offering panoramic views of Victoria Harbour and the city skyline.","0000-2400, Mon-Sun"
10,Yim Tin Tsai,"A small cultural village and island known for its heritage trail, historic chapel, and natural surroundings.","Uncertain"
11,Sai Kung Town,"A charming seaside town known as the 'back garden of Hong Kong,' featuring fresh seafood, hiking trails, and vibrant markets.","0000-2400, Mon-Sun"
12,Hong Kong Cultural Center,"A major arts venue hosting world-class performances in music, dance, theater, and exhibitions, located in Tsim Sha Tsui.","1000-2200, Mon-Sun"
13,K11 Humanity Shopping Art Museum,"A shopping mall that combines art, retail, and cultural exhibitions, offering a unique shopping experience.","1000-2200, Mon-Sun"
