ID,sc_name,en_name,tc_name,address,Latitude,Longitude,estimated_time,historial,shopping,literature_art,family,educational,nature,entertainment,romantic,relaxation
1,星光大道,Avenue of Stars,星光大道,"Ave of Stars, Tsim Sha Tsui",22.2944488,114.1760595,30,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2,前九广铁路钟楼,Former Kowloon-Canton Railway Clock Tower,前九廣鐵路鐘樓,"10 Salisbury Rd, Tsim Sha Tsui",22.2937034,114.1709787,20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
3,金紫荆广场,Golden Bauhinia Square,金紫荊廣場,"1 Expo Dr, Wan Chai",22.2833754,114.1731385,20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
4,香港迪士尼乐园,Hong Kong Disneyland,香港迪士尼樂園,Hong Kong Disneyland,22.2664984,113.941751,600,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
5,女人街,women's street,女人街,"Tung Choi St, Mong Kok",22.3210731,114.1701978,60,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
6,兰桂坊,Lan Kwai Fong,蘭桂坊,"1 Lan Kwai Fong, Central",22.2809846,114.1556541,60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
7,香港海洋公园,Hong Kong Ocean Park,香港海洋公園,Hong KongOcean Park,22.2346359,114.1721746,600,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
8,庙街夜市,Temple Street Night Market,廟街夜市,Yau Ma Tei,22.3068537,114.1714423,60,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
9,尖沙咀海滨花园,Tsim Sha Tsui Promenade Gardens,尖沙咀海濱花園,Tsim Sha Tsui East,22.2988123,114.1721746,20,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
10,盐田梓,yantianzi,鹽田梓,Hong Kong Yim Tin Tsai,22.3833333,114.3,180,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11,西贡市,Saigon City,西貢市,Sai Kung,22.383689,114.2707867,60,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
12,香港文化中心,Hong Kong Cultural Center,香港文化中心,"Hong Kong Cultural Centre, L5, Auditoria Building, 10 Salisbury Rd, Tsim Sha Tsui",22.2938496,114.1703232,120,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
13,K11人文购物艺术馆,K11 Humanity Shopping Art Museum,K11人文購物藝術館,"18號, Salisbury Rd, Tsim Sha Tsui",22.2934362,114.1739346,120,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
14,香港科学馆,Hong Kong Science Museum,香港科學館,"2號 Science Museum Rd, Tsim Sha Tsui East",22.3010096,114.1775685,180,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
15,香港历史博物馆,Hong Kong Museum of History,香港歷史博物館,"100 Chatham Rd S, Tsim Sha Tsui",22.3018982,114.1774079,180,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
16,中环广场,Central Plaza,中環廣場,"18 Harbour Rd, Wan Chai",22.2799515,114.1736754,20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
17,香港艺术中心,Hong Kong Arts Center,香港藝術中心,"2 Harbour Rd, Wan Chai",22.2801768,114.1708271,180,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
18,蓝屋,blue house,藍屋,"Wan Chai, Stone Nullah Ln, 72A 號街 4 號地舖地舖及慶雲",22.2739705,114.174106,20,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
19,香港会议展览中心,Hong Kong Convention and Exhibition Center,香港會議展覽中心,"1號 Expo Dr, Wan Chai",22.2833754,114.1731385,20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
20,中西区海滨长廊 - 中环段,Central and Western District Promenade – Central Section,中西區海濱長廊 - 中環段,"Lung Wo Rd, Central",22.2826099,114.1643507,40,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
21,香港摩天轮,Hong Kong Ferris wheel,香港摩天轮,"33 Man Kwong St, Central",22.2852859,114.1617221,30,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
22,大馆,Odate,大館,"Tai Kwun, 10 Hollywood Rd, Central",22.2811686,114.154023,120,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
23,香港医学博物馆,Hong Kong Museum of Medicine,香港醫學博物館,"2號 Caine Ln, Sheung Wan",22.2834638,114.1486266,120,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
24,添马舰,tamar,添馬艦,"Cross Harbour Tunnel To Victoria Park Rd, Admiralty",22.2918821,114.1819044,30,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
25,西九文化区,West Kowloon Cultural District,西九文化區,"九文化區管理局大樓, 8號, 西九文化區, Austin Rd W, West Kowloon",22.300235,114.1559127,120,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
