"景点","简介","地址","经纬度坐标","电话","网址"
"星光大道","星光大道位于尖沙咀海滨长廊，见证电影业对香港以及国际影坛的贡献。它亦是欣赏香港著名地标维多利亚港以及灯光音乐汇演「幻彩咏香江」的上佳地点。","九龙尖沙咀东海滨平台花园","22.29305N, 114.17435E","(852) 5501 4431 ","https://www.avenueofstars.com.hk"
"前九广铁路钟楼","前九广铁路钟楼位于尖沙咀天星小轮码头旁边，是前九广铁路火车站的遗迹，于1915年建成，现为法定古迹。钟楼内的铜钟于1975年被移离，直至2010年回归钟楼内，进一步提升了钟楼的历史价值。","九龙尖沙咀天星小轮码头","22.29359N, 114.16954E","-","http://www.discoverhongkong.com/china/see-do/culture-heritage/historical-sites/colonial/clock-tower.jsp"
"金紫荆广场 (及香港会议展览中心)","「金紫荆广场」在湾仔香港会议展览中心新翼外，是香港回归祖国的重要地标，广场矗立着一座由中央人民政府送赠的「永远盛开的紫荆花」(金紫荆)雕塑，每天早上，广场亦会举行升旗仪式。","香港岛湾仔博览道1号","22.28404N, 114.17335E","-","http://www.discoverhongkong.com/china/see-do/highlight-attractions/harbour-view/golden-bauhinia-square.jsp"
"绿色旅游","香港拥有丰富和多样化的天然资源，绿色旅游景点因而广受欢迎。除了著名的香港联合国教科文组织世界地质公园和香港湿地公园，还有离岛风光、热门远足径及其他绿色景点。旅客如想搜寻郊游地点或在郊野中漫步或运动，可到访这些网站计划行程。","-","-","-","http://www.geopark.gov.hk/index.htm (香港联合国教科文组织世界地质公园), http://sc.afcd.gov.hk/gb/www.wetlandpark.gov.hk/tc ( 香港湿地公园), http://hiking.gov.hk/chi/index.htm (郊野乐行), http://www.discoverhongkong.com/china/see-do/great-outdoors/index.jsp (户外探索) 及https://www.yimtintsaiartsfestival.hk/ytt-history.php?lang=sc (关于盐田梓)"
"香港迪士尼乐园度假区","香港迪士尼乐园度假区位于大屿山，是世界级的国际家庭旅游主题乐园度假区，包括一个主题乐园及三间主题度假酒店，提供丰富的餐饮、购物及娱乐体验。旅客将会投入在充满幻想、创意和奇妙魔法的世界内。你亦可在度假区附近的迪欣湖活动中心享受悠闲时刻。","大屿山香港迪士尼乐园度假区","22.31311N, 114.04444E","(852) 3550 3388 ","https://www.hongkongdisneyland.com/zh-cn/?located=true"
"香港‧大城小区—深水埗","在香港历史最悠久的其中一个地区—深水埗，从特色历史建筑，随处可见的旧唐楼、庙宇、小店、大牌档，以至大型商场，均展现出在地人朴实不华的文化，魅力十足。此推广项目将深水埗一带多元的旅游体验重新整合，以「步埗地道」为主题，介绍区内富有地道特色的热点。","九龙深水埗","-","-","http://www.discoverhongkong.com/china/see-do/neighbourhoods/sham-shui-po.jsp"
"女人街","女人街是一个售卖适合不同年龄价格相宜的服装和装饰品的知名地方。旅客亦可找到其它商品，包括中式纪念品、玩具、手表等等，或可在这个香港其中一个最著名的露天市集享用地道食品。","九龙旺角通菜街","22.31812N, 114.17082E","-","http://www.discoverhongkong.com/china/shop/where-to-shop/street-markets-and-shopping-streets/ladies-market.jsp"
"兰桂坊","兰桂坊是一个位于中环世界知名的娱乐区，有不同种类的餐厅、酒吧以及夜总会。它充满着欢欣的气氛，特别是在重要节庆如新年、万圣节和圣诞节期间举办的街头嘉年华。","香港岛中环兰桂坊","22.28098N, 114.15565E","-","https://www.lankwaifong.com/tc"
"香港海洋公园","香港海洋公园占地超过915,000平方米，是一个教育主题公园，并提供动物主题景点、刺激的机动游戏和表演。旅客可以乘坐地标式的登山缆车和海洋列车穿梭于高峰乐园及海滨乐园两大景区。","香港岛黄竹坑","22.24707N, 114.1746E","(852) 3923 2323","https://www.oceanpark.com.hk/sc"
"旧城中环","旧城中环把中环丰富的旅游特色重新整合，包括多条分别涵盖历史建筑及地标、艺术文化、时尚生活、美食及娱乐等主题的漫步自助游路线。配合大馆（即前中区警署建筑群），中西区被塑造为充满「古今、艺术」特色的社区。","香港岛中环","-","-","http://www.discoverhongkong.com/china/see-do/neighbourhoods/old-town-central.jsp"
