"景點","簡介","地址","經緯度座標","電話","網址"
"星光大道","星光大道位於尖沙咀海濱長廊，見證電影業對香港以及國際影壇的貢獻。它亦是欣賞香港著名地標維多利亞港以及燈光音樂匯演「幻彩詠香江」的上佳地點。","九龍尖沙咀東海濱平台花園","22.29305N, 114.17435E","(852) 5501 4431 ","https://www.avenueofstars.com.hk"
"前九廣鐵路鐘樓","前九廣鐵路鐘樓位於尖沙咀天星小輪碼頭旁邊，是前九廣鐵路火車站的遺蹟，於1915年建成，現為法定古蹟。鐘樓內的銅鐘於1975年被移離，直至2010年回歸鐘樓內，進一步提升了鐘樓的歷史價值。","九龍尖沙咀天星小輪碼頭","22.29359N, 114.16954E","-","http://www.discoverhongkong.com/tc/see-do/culture-heritage/historical-sites/colonial/clock-tower.jsp"
"金紫荊廣場 (及香港會議展覽中心)","「金紫荊廣場」在灣仔香港會議展覽中心新翼外，是香港回歸祖國的重要地標，廣場矗立著一座由中央人民政府送贈的「永遠盛開的紫荊花」(金紫荊)雕塑，每天早上，廣場亦會舉行升旗儀式。","香港島灣仔博覽道1號","22.28404N, 114.17335E","-","http://www.discoverhongkong.com/tc/see-do/highlight-attractions/harbour-view/golden-bauhinia-square.jsp"
"綠色旅遊","香港擁有豐富和多樣化的天然資源，綠色旅遊景點因而廣受歡迎。除了著名的香港聯合國教科文組織世界地質公園和香港濕地公園，還有離島風光、熱門遠足徑及其他綠色景點。旅客如想搜尋郊遊地點或在郊野中漫步或運動，可到訪這些網站計劃行程。","-","-","-","http://www.geopark.gov.hk/index.htm (香港聯合國教科文組織世界地質公園), http://www.wetlandpark.gov.hk/tc (香港濕地公園), http://hiking.gov.hk/chi/index.htm (郊野樂行), http://www.discoverhongkong.com/tc/see-do/great-outdoors/index.jsp (戶外探索) 及https://www.yimtintsaiartsfestival.hk/ytt-history.php?lang=tc (關於鹽田梓)"
"香港迪士尼樂園度假區","香港迪士尼樂園度假區位於大嶼山，是世界級的國際家庭旅遊主題樂園度假區，包括一個主題樂園及三間主題度假酒店，提供豐富的餐飲、購物及娛樂體驗。旅客將會投入在充滿幻想、創意和奇妙魔法的世界內。你亦可在度假區附近的迪欣湖活動中心享受悠閒時刻。","大嶼山香港迪士尼樂園度假區","22.31311N, 114.04444E","(852) 3550 3388 ","https://www.hongkongdisneyland.com/zh-hk/?located=true"
"香港‧大城小區—深水埗","在香港歷史最悠久的其中一個地區—深水埗，從特色歷史建築，隨處可見的舊唐樓、廟宇、小店、大牌檔，以至大型商場，均展現出在地人樸實不華的文化，魅力十足。此推廣項目將深水埗一帶多元的旅遊體驗重新整合，以「步埗地道」為主題，介紹區內富有道地特色的熱點。","九龍深水埗","-","-","http://www.discoverhongkong.com/tc/see-do/neighbourhoods/sham-shui-po.jsp"
"女人街","女人街是一個售賣適合不同年齡價格相宜的服裝和裝飾品的知名地方。旅客亦可找到其它商品，包括中式紀念品、玩具、手錶等等，或可在這個香港其中一個最著名的露天市集享用地道食品。","九龍旺角通菜街","22.31812N, 114.17082E","-","http://www.discoverhongkong.com/tc/shop/where-to-shop/street-markets-and-shopping-streets/ladies-market.jsp"
"蘭桂坊","蘭桂坊是一個位於中環世界知名的娛樂區，有不同種類的餐廳、酒吧以及夜總會。它充滿著歡欣的氣氛，特別是在重要節慶如新年、萬聖節和聖誕節期間舉辦的街頭嘉年華。","香港島中環蘭桂坊","22.28098N, 114.15565E","-","https://www.lankwaifong.com/tc"
"香港海洋公園","香港海洋公園佔地超過915,000平方米，是一個教育主題公園，並提供動物主題景點、刺激的機動遊戲和表演。旅客可以乘坐地標式的登山纜車和海洋列車穿梭於高峰樂園及海濱樂園兩大景區。","香港島黃竹坑","22.24707N, 114.1746E","(852) 3923 2323","www.oceanpark.com.hk"
"舊城中環","舊城中環把中環豐富的旅遊特色重新整合，包括多條分別涵蓋歷史建築及地標、藝術文化、時尚生活、美食及娛樂等主題的漫步自助遊路線。配合大館（即前中區警署建築群），中西區被塑造為充滿「古今、藝術」特色的社區。","香港島中環","-","-","http://www.discoverhongkong.com/tc/see-do/neighbourhoods/old-town-central.jsp"
